qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;aLkw(1);Statusflag;aLkw(2);Statusflag;aLkw(3);Statusflag;kKfz(1);Statusflag;kKfz(2);Statusflag;kKfz(3);Statusflag;kLkw(1);Statusflag;kLkw(2);Statusflag;kLkw(3);Statusflag;kPkw(1);Statusflag;kPkw(2);Statusflag;kPkw(3);Statusflag;qB(1);Statusflag;qB(2);Statusflag;qB(3);Statusflag;kB(1);Statusflag;kB(2);Statusflag;kB(3);Statusflag;QKfz;Statusflag;QLkw;Statusflag;QPkw;Statusflag;VKfz;Statusflag;VLkw;Statusflag;VPkw;Statusflag;VgKfz;Statusflag;B;Statusflag;Bmax;Statusflag;SKfz;Statusflag;Alkw;Statusflag;KKfz;Statusflag;KLkw;Statusflag;KPkw;Statusflag;QB;Statusflag;KB;Statusflag;VDelta;Statusflag
100;1 Intp ;100;0,5 Intp ;200;1;1000;1 Intp nErf ;1000;0,5 nErf Intp ;2000;1 nErf ;10000;1 Intp ;10000;0,5 Intp ;20000;1;11;1 Intp nErf ;21;0,5 nErf Intp ;31;1 nErf ;111;1 Intp ;121;0,5 Intp ;131;1;211;1 Intp ;221;0,97 Intp ;231;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
200;1 Intp ;200;0,5 Intp ;400;1;2000;1 Intp nErf ;2000;0,5 nErf Intp ;4000;1 nErf ;20000;1 Intp ;20000;0,5 Intp ;40000;1;12;1 Intp nErf ;22;0,5 nErf Intp ;32;1 nErf ;112;1 Intp ;122;0,5 Intp ;132;1;212;1 Intp ;222;0,97 Intp ;232;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
400;1 Intp ;400;0,5 Intp ;800;1;4000;1 Intp nErf ;4000;0,5 nErf Intp ;8000;1 nErf ;40000;1 Intp ;40000;0,5 Intp ;80000;1;13;1 Intp nErf ;23;0,5 nErf Intp ;33;1 nErf ;113;1 Intp ;123;0,5 Intp ;133;1;213;1 Intp ;223;0,97 Intp ;233;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
100;1 Intp ;100;0,5 Intp ;200;1;1000;1 Intp nErf ;1000;0,5 nErf Intp ;2000;1 nErf ;10000;1 Intp ;10000;0,5 Intp ;20000;1;11;1 Intp nErf ;21;0,5 nErf Intp ;31;1 nErf ;111;1 Intp ;121;0,5 Intp ;131;1;211;1 Intp ;221;0,97 Intp ;231;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
200;1 Intp ;200;0,5 Intp ;400;1;2000;1 Intp nErf ;2000;0,5 nErf Intp ;4000;1 nErf ;20000;1 Intp ;20000;0,5 Intp ;40000;1;12;1 Intp nErf ;22;0,5 nErf Intp ;32;1 nErf ;112;1 Intp ;122;0,5 Intp ;132;1;212;1 Intp ;222;0,97 Intp ;232;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
400;1 Intp ;400;0,5 Intp ;800;1;4000;1 Intp nErf ;4000;0,5 nErf Intp ;8000;1 nErf ;40000;1 Intp ;40000;0,5 Intp ;80000;1;13;1 Intp nErf ;23;0,5 nErf Intp ;33;1 nErf ;113;1 Intp ;123;0,5 Intp ;133;1;213;1 Intp ;223;0,97 Intp ;233;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
100;1 Intp ;100;0,5 Intp ;200;1;1000;1 Intp nErf ;1000;0,5 nErf Intp ;2000;1 nErf ;10000;1 Intp ;10000;0,5 Intp ;20000;1;11;1 Intp nErf ;21;0,5 nErf Intp ;31;1 nErf ;111;1 Intp ;121;0,5 Intp ;131;1;211;1 Intp ;221;0,97 Intp ;231;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
200;1 Intp ;200;0,5 Intp ;400;1;2000;1 Intp nErf ;2000;0,5 nErf Intp ;4000;1 nErf ;20000;1 Intp ;20000;0,5 Intp ;40000;1;12;1 Intp nErf ;22;0,5 nErf Intp ;32;1 nErf ;112;1 Intp ;122;0,5 Intp ;132;1;212;1 Intp ;222;0,97 Intp ;232;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
400;1 Intp ;400;0,5 Intp ;800;1;4000;1 Intp nErf ;4000;0,5 nErf Intp ;8000;1 nErf ;40000;1 Intp ;40000;0,5 Intp ;80000;1;13;1 Intp nErf ;23;0,5 nErf Intp ;33;1 nErf ;113;1 Intp ;123;0,5 Intp ;133;1;213;1 Intp ;223;0,97 Intp ;233;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
100;1 Intp ;100;0,5 Intp ;200;1;1000;1 Intp nErf ;1000;0,5 nErf Intp ;2000;1 nErf ;10000;1 Intp ;10000;0,5 Intp ;20000;1;11;1 Intp nErf ;21;0,5 nErf Intp ;31;1 nErf ;111;1 Intp ;121;0,5 Intp ;131;1;211;1 Intp ;221;0,97 Intp ;231;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;0,95545 Intp ;353053;1;79;1 Intp ;307;0,95545 Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
