qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;aLkw(1);Statusflag;aLkw(2);Statusflag;aLkw(3);Statusflag;kKfz(1);Statusflag;kKfz(2);Statusflag;kKfz(3);Statusflag;kLkw(1);Statusflag;kLkw(2);Statusflag;kLkw(3);Statusflag;kPkw(1);Statusflag;kPkw(2);Statusflag;kPkw(3);Statusflag;qB(1);Statusflag;qB(2);Statusflag;qB(3);Statusflag;kB(1);Statusflag;kB(2);Statusflag;kB(3);Statusflag;QKfz;Statusflag;QLkw;Statusflag;QPkw;Statusflag;VKfz;Statusflag;VLkw;Statusflag;VPkw;Statusflag;VgKfz;Statusflag;B;Statusflag;Bmax;Statusflag;SKfz;Statusflag;Alkw;Statusflag;KKfz;Statusflag;KLkw;Statusflag;KPkw;Statusflag;QB;Statusflag;KB;Statusflag;VDelta;Statusflag
296940;1 Intp ;63300;0,9409 Intp ;296940;1;271200;1 Intp ;60180;0,9409 Intp nErf ;271200;1 nErf ;25740;1 Intp ;3120;0,97 Intp ;25740;1;87;1 Intp ;64;1 nErf ;87;1 nErf ;95;1 Intp ;64;1;95;1;6;1 Intp ;89;0,97 Intp ;6;1;-3;0 Fehl Impl nErm ;176;1;10;1;-3;0 Fehl Impl nErm ;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;3413;1 Intp ;989;0,9409 Intp ;3413;1;4290;1 Intp ;35;0,9409 Intp ;4290;1;2855;1 Intp ;940;0,9409 Intp ;2855;1;345589;1 Intp ;64860;0,948175 Intp ;353053;1;3972;1 Intp ;1013;0,948175 Intp ;4058;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;25;0,4904372636 Intp ;8;0,970497 Intp ;7732;0,9420566246 Intp ;4964;0,96079203 Intp ;6550;0,9420566246 Intp ;827532;0,9681925598 Intp ;9736;0,9304215188 Intp ;23;1 Intp 
60420;1;60420;1 Intp ;307380;1;55080;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;286500;1 nErf ;5340;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;20880;1;157;0,97 Intp nErf ;-3;0 Fehl Impl nErm nErf ;199;0,97 Intp nErf ;227;1;227;1 Intp ;197;0,97 Intp ;61;1;61;1 Intp ;56;1;131;0,97 Intp ;-3;0 Fehl Impl nErm ;92;1;20;1;-3;0 Fehl Impl nErm ;31;1;9;0,97 Intp ;-3;0 Fehl nErm ;7;1;385;0,97 Intp ;541;1;1545;0,97 Intp ;88;0,97 Intp ;-3;0 Fehl nErm ;373;1;243;0,97 Intp ;-3;0 Fehl nErm ;1454;0,97 Intp ;74624;0,97 Intp ;-3;0 Fehl nErm ;374614;0,9925 Intp ;475;0,9409 Intp ;307;1 Fehl nErm ;1882;0,962725 Intp ;1085400;1 Intp ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;491;1;89;1,00E+00;251;1;-3;0 Fehl nErm ;449;1 Fehl nErm ;0;0 Fehl nErm 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;323160;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;23340;0,97 Intp ;22;1 Intp ;-3;0 Fehl Impl nErm nErf ;22;1 nErf ;19;1 Intp ;-3;0 Fehl Impl nErm ;19;1;76;1 Intp ;-3;0 Fehl Impl nErm ;76;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;97;0,97 Intp ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;25;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;7;0,9409 Intp ;-3;0 Fehl nErm ;541;1;14689;0,97 Intp ;-3;0 Fehl nErm ;0;1;307;0,97 Intp ;-3;0 Fehl nErm ;0;1;15780;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;332496;0,97 Intp ;-3;0 Fehl nErm ;0;1 Fehl nErm ;15113;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1,00E+00;-3;0 Fehl nErm ;0;1 Fehl nErm ;0;0 Fehl nErm 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;326460;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;26640;0,97 Intp ;63;1 Intp ;-3;0 Fehl Impl nErm nErf ;63;1 nErf ;62;1 Intp ;-3;0 Fehl Impl nErm ;62;1;79;1 Intp ;-3;0 Fehl Impl nErm ;79;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;29;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;24;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;8;0,9409 Intp ;-3;0 Fehl nErm ;541;1;5182;0,97 Intp ;-3;0 Fehl nErm ;0;1;337;0,97 Intp ;-3;0 Fehl nErm ;0;1;4836;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;337116;0,97 Intp ;-3;0 Fehl nErm ;0;1 Fehl nErm ;5351;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1,00E+00;-3;0 Fehl nErm ;0;1 Fehl nErm ;0;0 Fehl nErm 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;315780;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;15960;0,97 Intp ;73;1 Intp ;-3;0 Fehl Impl nErm nErf ;73;1 nErf ;75;1 Intp ;-3;0 Fehl Impl nErm ;75;1;8;1 Intp ;-3;0 Fehl Impl nErm ;8;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;88;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;46;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;5;0,9409 Intp ;-3;0 Fehl nErm ;541;1;4326;0,97 Intp ;-3;0 Fehl nErm ;0;1;1995;0,97 Intp ;-3;0 Fehl nErm ;0;1;3998;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;343550;0,97 Intp ;-3;0 Fehl nErm ;0;1 Fehl nErm ;4706;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1;-3;0 Fehl nErm ;0;1 Fehl nErm ;0;0 Fehl nErm 
120540;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;183900;1;120180;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;183120;1 nErf ;360;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;780;1;20;1 nErf ;20;1 Intp ;8;1 nErf ;20;1;20;1 Intp ;8;1;66;1;66;1 Intp ;94;1;73;1;-3;0 Fehl Impl nErm ;48;1;8;1;-3;0 Fehl Impl nErm ;14;1;0;0,9409 Intp ;-3;0 Fehl nErm ;0;1;6027;0,97 Intp ;-3;0 Fehl nErm ;22988;1;5;0,97 Intp ;-3;0 Fehl nErm ;8;1;6009;0,97 Intp ;-3;0 Fehl nErm ;22890;1;120900;0,97 Intp ;-3;0 Fehl nErm ;184212;1;6045;0,97 Intp ;-3;0 Fehl nErm ;23026;1;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1;-3;0 Fehl nErm ;0;1 Fehl nErm ;5;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;321240;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;21420;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;199;0,97 Intp nErf ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;197;0,97 Intp ;17;1 Intp ;-3;0 Fehl Impl nErm ;17;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;97;0,97 Intp ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;52;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;7;0,9409 Intp ;307;1;0;1;1614;0,9409 Intp ;-3;0 Fehl nErm ;0;1;1260;0,97 Intp ;97;1;0;1;1522;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;406920;0,962725 Intp ;79;1 Fehl nErm ;0;1 Fehl nErm ;2045;0,93384325 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1;-3;0 Fehl nErm ;0;1 Fehl nErm ;0;0 Fehl nErm 
122940;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;79320;1;120180;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;70740;1 nErf ;2760;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;8580;1;85;1 nErf ;85;1 Intp ;16;1 nErf ;86;1;86;1 Intp ;4;1;35;1;35;1 Intp ;113;1;131;0,97 Intp ;-3;0 Fehl Impl nErm ;23;1;12;1;-3;0 Fehl Impl nErm ;6;1;2;0,9409 Intp ;-3;0 Fehl nErm ;11;1;1446;0,97 Intp ;-3;0 Fehl nErm ;4958;1;79;0,97 Intp ;-3;0 Fehl nErm ;76;1;1397;0,97 Intp ;-3;0 Fehl nErm ;17685;1;127108;0,97 Intp ;-3;0 Fehl nErm ;82752;1;1495;0,97 Intp ;-3;0 Fehl nErm ;5172;1;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1;-3;0 Fehl nErm ;0;1 Fehl nErm ;28;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;321840;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;22020;0,97 Intp ;62;1 Intp ;-3;0 Fehl Impl nErm nErf ;62;1 nErf ;64;1 Intp ;-3;0 Fehl Impl nErm ;64;1;30;1 Intp ;-3;0 Fehl Impl nErm ;30;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;97;0,97 Intp ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;59;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;7;0,9409 Intp ;-3;0 Fehl nErm ;0;1;5191;0,97 Intp ;-3;0 Fehl nErm ;0;1;734;0,97 Intp ;-3;0 Fehl nErm ;0;1;4685;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;345622;0,97 Intp ;-3;0 Fehl nErm ;0;1 Fehl nErm ;5575;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1;-3;0 Fehl nErm ;0;1 Fehl nErm ;0;0 Fehl nErm 
222780;1 Intp ;-3;0 Fehl Impl wMaL nErm ;222780;1;217740;1 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;217740;1 nErf ;5040;1 Intp ;-3;0 Fehl Impl wMaL nErm ;5040;1;7;1 Intp ;-3;0 Fehl Impl nErm nErf ;7;1 nErf ;5;1 Intp ;-3;0 Fehl Impl nErm ;5;1;105;1 Intp ;-3;0 Fehl Impl nErm ;105;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;41;1;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;13;1;2;1 Intp ;-3;0 Fehl nErm ;2;1;31826;1 Intp ;0;1;31826;1;48;1 Intp ;0;1;48;1;43548;1 Intp ;0;1;43548;1;227820;1 Intp ;-3;0 Fehl nErm ;224796;1;32546;1 Intp ;0;1 Fehl nErm ;32114;1;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;491;1;89;1;0;1;-3;0 Fehl nErm ;0;1 Fehl nErm ;0;0 Fehl nErm 
