VKDiffKfz;Verkehrszustand;qPFlink;qGFlink;qPNormal;qGNorml;qPTräge;qGTräge;vPFlink;vGFlink;vPNormal;vGNorml;vPTräge;vGTräge;kBGFlink;kBGNormal;kBGTräge;vst, MARZ;vst, NRW;vst,NRW, RDS;KKfzStoerfall;KKfzStoerfallG;VKfzStoerfallG;QKfzStoerfallG;VST, lokale Störfallerkennung
0,181430348;Freier Verkehr;517883;242213;311130;173295;173295;69919;99;93;94;91;91;89;2616;1904;789;5;6;6;307;723,3999959;73,18581452;52942,61792;2
-1;Freier Verkehr;73531;108142;153409;133827;144635;70860;295;187;215;159;159;116;579;842;609;6;6;4;307;556,839995;86,49730309;48165,15783;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;0;53;61;103;102;87;0;0;0;2;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;67;59;45;87;87;80;0;0;0;5;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;84;70;55;82;83;78;0;0;0;5;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;181352;84630;108818;60450;60431;24179;0;30;13;57;53;61;2816;1057;398;6;6;6;5,821312427;2,410656214;130,8073402;315,3315274;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;190661;88975;114392;63554;63548;25421;128;60;73;42;37;16;1485;1495;1550;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;80;63;80;53;55;26;0;0;0;6;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;341735;159474;205048;113910;113928;45563;0;17;23;34;38;20;9634;3355;2319;6;6;6;3,149748631;1,074874315;130,914096;140,7161993;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;158;83;97;72;78;38;0;0;0;5;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;28;41;47;56;67;36;0;0;0;6;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;568068;265094;340827;189352;189347;75740;154;95;107;87;99;52;2790;2178;1449;6;6;6;307;153;118,7722278;18172,15085;2
-0,127380736;Freier Verkehr;-1;-1;-1;-1;-1;-1;77;76;82;81;94;56;0;0;0;5;1;1;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;0;28;23;55;66;44;0;0;0;6;1;1;-1;-1;-1;-1;6
0,034933202;Freier Verkehr;402337;187753;241397;134109;134087;53643;159;89;90;85;95;58;2112;1580;922;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;217279;169167;225852;149314;165392;75818;102;85;87;85;97;63;1991;1767;1196;6;6;6;307;230;112,6183816;25902,22777;2
0,477059291;Freier Verkehr;302943;227105;287596;200625;226579;111042;107;93;97;91;104;70;2432;2210;1584;6;6;4;307;268,5;109,5414585;29411,88162;2
-1;Freier Verkehr;0;60589;80612;127959;157431;83417;25;55;53;72;84;63;1108;1766;1333;6;6;6;118;208,2999991;114,3526474;23819,65636;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;141;98;100;94;105;73;0;0;0;5;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;430387;200844;258247;143460;143481;57383;17;5;25;3;25;1;10000;10000;10000;6;6;6;2,703425027;0,851712513;130,9319311;111,5163641;2
-1;Freier Verkehr;399769;272252;355788;223157;240388;106478;288;136;186;98;113;39;2005;2289;2739;6;6;5;307;153,9258563;118,6982333;18270,72719;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;410595;191604;246393;136860;136912;54743;101;40;96;28;80;11;4838;4888;5164;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;34763;72917;107373;99414;114729;51294;228;122;185;92;132;40;599;1075;1286;6;6;6;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-0,056237297;Freier Verkehr;-1;-1;-1;-1;-1;-1;199;84;163;60;124;23;0;0;0;5;1;1;50;24,5;129,041958;3161,527972;2
-0,056237297;Freier Verkehr;-1;-1;-1;-1;-1;-1;161;109;176;90;142;43;0;0;0;5;1;1;50;37,25;128,022977;4768,855894;2
-1;Freier Verkehr;150666;70301;90418;50214;50275;20085;203;148;209;127;174;67;474;394;300;6;6;6;307;172,125;117,2437562;20180,58154;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;342742;159936;205696;114240;114314;45695;151;60;141;42;117;16;2670;2688;2786;6;6;6;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;433355;270469;352355;216040;229801;100124;216;124;200;97;155;44;2175;2221;2301;6;6;6;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;120227;164279;213719;184717;209702;107646;60;75;118;84;131;47;2182;2211;2270;6;6;6;307;268,5;109,5414585;29411,88162;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;6
